ZIP CODE,GHG QUANTITY (METRIC TONS CO2e)
33178,63874
33538,210710
32218,55506
32401,61347
32505,25306
33173,25745
32254,60430
34691,1388459
32669,832281
32304,710653
32533,9192846
33823,0
32331,53133
32404,42515
32926,532171
33332,56500
33619,2902921
34241,43142
33572,2597982
32234,1943784
34614,0
34601,810588
33801,1442511
33182,675315
33955,126094
34460,95538
33853,67670
33440,40355
32234,99478
34762,63304
33823,73841
34748,19899
33848,1537162
32927,2249696
32218,0
33830,302138
34275,106806
33801,78418
32304,4234
32177,94314
34428,7807312
32831,4420194
33158,0
33178,266129
32713,106481
32653,567146
32653,8708
34266,0
34432,27165
33412,35258
32091,0
32225,0
33619,74988
32034,97229
32514,36476
32622,71490
32427,41262
34945,0
34461,20112
32904,11313
32570,131735
32835,29021
32347,64179
32351,87243
32134,39606
33592,31870
32693,25497
33413,18652
33409,0
32955,16862
34605,0
32306,20757
32348,392951
33905,3670949
32725,0
32177,397443
34221,50989
32608,0
32334,42492
33534,67803
32256,334331
32514,1150695
33913,2200
34614,118994
33619,192981
33584,0
33834,405862
32071,21747
33830,4455220
32086,23359
32254,35920
32968,17458
32780,0
32780,0
34956,0
33848,237837
32533,310854
32533,28963
32206,70335
32601,373224
34773,128853
32225,0
33563,24770
32778,40662
33905,219099
33930,89540
32784,0
32409,1901544
33467,22875
33314,209877
34211,55150
32311,73102
34480,100971
34990,0
33605,110789
34219,4041430
34956,4241414
33178,161757
33834,1701626
33073,236264
33830,164794
33565,0
33547,35440
33830,0
33860,248615
33578,129638
33860,0
33830,189789
33493,56254
32083,85813
33055,241783
34117,28305
32226,4215705
32829,90044
32732,290772
32580,25404
34972,3126417
34973,60274
32926,59494
33830,198786
32809,395889
34773,0
33823,934731
33702,2782296
34610,150702
32571,72931
32533,162195
34787,54081
33716,641903
32177,79995
33412,1032673
33860,2511231
33880,390524
33316,2202498
32131,0
33823,0
33523,0
32034,61382
32097,44026
32830,63423
32905,0
33896,36837
33404,2247147
34741,0
32355,359596
32222,0
32583,148979
33170,70151
33547,118359
33440,0
34746,0
32426,119224
34981,42286
32565,159341
32008,555090
33585,534986
32713,3668410
32571,602328
32324,0
32708,6424346
34610,118725
32226,0
32831,851845
33041,0
32060,0
32060,44231
32208,21218
32571,65086
33178,1276584
33602,62192
33716,41472
33619,26212
32234,69644
34981,747559
34208,139790
34981,25042
33841,308988
33461,5735
33035,2361120
32208,33126
32611,168745
32128,296760
33873,317087
32961,0
32011,21232
33073,0
33314,356298
33470,7035592
32568,39311
32034,388327
32401,334186
32218,320680
33823,0
32096,55050
32055,50417